Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/0/3.14159,125,0,1300.0,1423.7810679999998,1103.247500000009,3288.2701999999995,114.0,0.7022575124886391,0.0,1300,1400,1500,1500,1800,2000,2200,3100,3300,3300,3300
,Aggregated,125,0,1300.0,1423.7810679999998,1103.247500000009,3288.2701999999995,114.0,0.7022575124886391,0.0,1300,1400,1500,1500,1800,2000,2200,3100,3300,3300,3300
