Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//0/3.14159,593,272,420.0,301.52340185497474,54.908300000008126,785.1196000000016,145.19055649241147,3.3143454858841475,1.5202394134240946,420,430,440,450,520,560,610,650,790,790,790
,Aggregated,593,272,420.0,301.52340185497474,54.908300000008126,785.1196000000016,145.19055649241147,3.3143454858841475,1.5202394134240946,420,430,440,450,520,560,610,650,790,790,790
