Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Requests/s,Total Min Response Time,Total Max Response Time,Total Average Content Size
1668548863,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1668548864,1,GET,/0/3.14159,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,240.0,243.37212500000004,234.17450000000005,252.72280000000015,114.0
1668548864,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,240.0,243.37212500000004,234.17450000000005,252.72280000000015,114.0
1668548865,1,GET,/0/3.14159,0.000000,0.000000,240,240,240,240,250,250,250,250,250,250,250,8,0,240.0,239.0990625,228.9509999999999,252.72280000000015,114.0
1668548865,1,,Aggregated,0.000000,0.000000,240,240,240,240,250,250,250,250,250,250,250,8,0,240.0,239.0990625,228.9509999999999,252.72280000000015,114.0
1668548866,1,GET,/0/3.14159,2.000000,0.000000,240,240,240,250,250,250,250,250,250,250,250,12,0,240.0,238.48009999999996,228.1879,252.72280000000015,114.0
1668548866,1,,Aggregated,2.000000,0.000000,240,240,240,250,250,250,250,250,250,250,250,12,0,240.0,238.48009999999996,228.1879,252.72280000000015,114.0
1668548867,1,GET,/0/3.14159,3.500000,0.000000,240,240,240,250,250,250,250,250,250,250,250,16,0,240.0,238.11861874999997,225.2551999999999,252.72280000000015,114.0
1668548867,1,,Aggregated,3.500000,0.000000,240,240,240,250,250,250,250,250,250,250,250,16,0,240.0,238.11861874999997,225.2551999999999,252.72280000000015,114.0
1668548868,1,GET,/0/3.14159,3.666667,0.000000,240,240,250,250,250,260,260,260,260,260,260,20,0,240.0,240.33450500000004,225.2551999999999,258.9114000000006,114.0
1668548868,1,,Aggregated,3.666667,0.000000,240,240,250,250,250,260,260,260,260,260,260,20,0,240.0,240.33450500000004,225.2551999999999,258.9114000000006,114.0
1668548869,1,GET,/0/3.14159,3.750000,0.000000,240,240,250,250,250,260,260,260,260,260,260,25,0,240.0,240.13281200000006,224.56969999999998,258.9114000000006,114.0
1668548869,1,,Aggregated,3.750000,0.000000,240,240,250,250,250,260,260,260,260,260,260,25,0,240.0,240.13281200000006,224.56969999999998,258.9114000000006,114.0
1668548870,1,GET,/0/3.14159,3.800000,0.000000,240,240,250,250,250,260,260,260,260,260,260,29,0,240.0,239.54931034482763,222.7785999999998,258.9114000000006,114.0
1668548870,1,,Aggregated,3.800000,0.000000,240,240,250,250,250,260,260,260,260,260,260,29,0,240.0,239.54931034482763,222.7785999999998,258.9114000000006,114.0
